,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,4,65.0,8450,2,0.0,1,2,2,1,1,5,5,4,8,5,2003,2003,2,3,14,2.0,196.0,3,4,6,3.0,3.0,1.0,6.0,706,4.0,0,150,6,5,2,5.0,856,854,0,1,0,2,1,3,1,3,8,7,0.0,5.0,2.0,548,4.0,5.0,3,0,61,0,0,0,0,0.0,0,2,2008,6,5,208500
1,2,20,4,80.0,9600,2,0.0,1,2,2,3,1,3,5,4,6,8,1976,1976,2,3,6,0.0,0.0,2,4,3,3.0,3.0,4.0,4.0,978,4.0,0,284,6,5,2,5.0,1262,0,0,0,1,2,0,3,1,2,6,7,3.0,5.0,2.0,460,4.0,5.0,3,298,0,0,0,0,0,0.0,0,5,2007,6,5,181500
2,3,60,4,68.0,11250,2,0.0,2,2,2,1,1,5,5,4,8,5,2001,2002,2,3,14,2.0,162.0,3,4,6,3.0,3.0,2.0,6.0,486,4.0,0,434,6,5,2,5.0,920,866,0,1,0,2,1,3,1,3,6,7,3.0,5.0,2.0,608,4.0,5.0,3,0,42,0,0,0,0,0.0,0,9,2008,6,5,223500
3,4,70,4,60.0,9550,2,0.0,2,2,2,2,1,5,5,4,8,5,1915,1970,2,3,7,0.0,0.0,2,4,2,2.0,4.0,1.0,4.0,216,4.0,0,540,6,4,2,5.0,961,756,0,1,0,1,0,3,1,3,7,7,4.0,2.0,1.0,642,4.0,5.0,3,0,35,272,0,0,0,0.0,0,2,2006,6,2,140000
4,5,60,4,84.0,14260,2,0.0,2,2,2,3,1,5,5,4,8,5,2000,2000,2,3,14,2.0,350.0,3,4,6,3.0,3.0,3.0,6.0,655,4.0,0,490,6,5,2,5.0,1145,1053,0,1,0,2,1,4,1,3,9,7,3.0,5.0,2.0,836,4.0,5.0,3,192,84,0,0,0,0,0.0,0,12,2008,6,5,250000
5,6,50,4,85.0,14115,2,0.0,2,2,2,1,1,5,5,4,3,5,1993,1995,2,3,14,0.0,0.0,2,4,5,3.0,3.0,1.0,6.0,732,4.0,0,64,6,5,2,5.0,796,566,0,1,0,1,1,1,1,2,5,7,0.0,5.0,1.0,480,4.0,5.0,3,40,30,0,320,0,0,2.0,700,10,2009,6,5,143000
6,7,20,4,75.0,10084,2,0.0,1,2,2,1,1,5,5,4,6,5,2004,2005,2,3,14,3.0,186.0,3,4,6,4.0,3.0,3.0,6.0,1369,4.0,0,317,6,5,2,5.0,1694,0,0,1,0,2,0,3,1,3,7,7,4.0,5.0,2.0,636,4.0,5.0,3,255,57,0,0,0,0,0.0,0,8,2007,6,5,307000
7,8,60,4,0.0,10382,2,0.0,2,2,2,2,1,8,5,4,8,6,1973,1973,2,3,10,3.0,240.0,2,4,3,3.0,3.0,2.0,4.0,859,1.0,32,216,6,5,2,5.0,1107,983,0,1,0,2,1,3,1,2,7,7,3.0,5.0,2.0,484,4.0,5.0,3,235,204,228,0,0,0,2.0,350,11,2009,6,5,200000
8,9,50,2,51.0,6120,2,0.0,1,2,2,1,1,1,5,4,3,5,1931,1950,2,3,7,0.0,0.0,2,4,2,2.0,3.0,1.0,5.0,0,4.0,0,952,6,4,2,3.0,1022,752,0,0,0,2,0,2,2,2,8,5,3.0,2.0,1.0,468,2.0,5.0,3,90,0,205,0,0,0,0.0,0,4,2008,6,2,129900
9,10,190,4,50.0,7420,2,0.0,1,2,2,2,1,1,2,1,1,6,1939,1950,2,3,6,0.0,0.0,2,4,2,2.0,3.0,1.0,6.0,851,4.0,0,140,6,5,2,5.0,1077,0,0,1,0,1,0,2,2,2,5,7,3.0,5.0,2.0,205,5.0,5.0,3,0,4,0,0,0,0,0.0,0,1,2008,6,5,118000
